Code,Name
BBCA,BANK CENTRAL ASIA
BBRI,BANK RAKYAT INDONESIA
BMRI,BANK MANDIRI (PERSERO) TBK
TLKM,TELKOM INDONESIA(PERSERO) TBK
ASII,ASTRA INTERNATIONAL
BBNI,PT BANK NEGARA INDONESIA(PERSERO)
BRIS,BANK SYARIAH INDONESIA TBK
ICBP,INDOFOOD CBP SUKSES MAKMUR TBK PT
UNVR,UNILEVER INDONESIA
AMRT,SUMBER ALFARIA TRIJAYA TBK
BRPT,BARITO PACIFIC TBK
ADRO,ADARO ENERGY INDONESIA TBK
CPIN,CHAROEN POKPHAND INDONESIA
UNTR,UNITED TRACTORS
KLBF,KALBE FARMA
MBMA,MERDEKA BATTERY MATERIALS TBK
GOTO,GOTO GOJEK TOKOPEDIA TBK
MDKA,MERDEKA COPPER GOLD TBK. PT
MTEL,DAYAMITRA TELEKOMUNIKASI TBK
INDF,PT INDOFOOD SUKSES MAKMUR TBK
PGEO,PERTAMINA GEOTHERMAL ENERGY TBK
INKP,INDAH KIAT PULP & PAPER
INCO,VALE INDONESIA TBK
PGAS,PERUSAHAAN GAS NEGARA TBK
TOWR,SARANA MENARA NUSA
GGRM,GUDANG GARAM TBK
MEDC,MEDCO ENERGI INTERNATIONAL
ARTO,BANK JAGO TBK
AKRA,AKR CORPORINDO TBK
ANTM,ANEKA TAMBANG
EXCL,PT XL AXIATA TBK
PTBA,BUKIT ASAM TBK
INTP,INDOCEMENT TUNGGAL PRAKARSA
ITMG,INDO TAMBANGRAYA MEGAH TBK
SMGR,SEMEN INDONESIA (PERSERO)TBK
MAPI,MITRA ADIPERKASA TBK
EMTK,ELANG MAHKOTA TEKNOLOGI TBK
SIDO,INDUSTRI JAMU & FARMASI SIDO MUNCUL
SRTG,SARATOGA INVESTAMA SEDAYA TBK
BBTN,BANK TABUNGAN NEGARA PERSERO
HRUM,HARUM ENERGY TBK. PT
ACES,ACE HARDWARE INDONESIA TBK
BUKA,BUKALAPAK.COM TBK
ESSA,ESSA INDUSTRIES INDONESIA TBK
PTMP,PT MITRA PACK TBK
